Bus Name,Rating MVA,DATA_LINK_KEY,Active,Notes
SUB10_RM6,0.75,101000,TRUE,hm
SUB11A_RM6,0.75,111101,TRUE,Normally Open HV link to SUB11B_RM6
SUB11B_RM6,0.75,111102,TRUE,
SUB12_RM6,0.75,111200,TRUE,Normally Open HV link to SUB24_RM6
SUB14_HV_A,6,111401,TRUE,Normally Open link to SUB14_HV_B
SUB14_HV_B,6,111402,TRUE,Normally Open link to SUB14_HV_A
SUB15_RM6,0.8,101500,TRUE,
SUB16_RM6,0.5,111600,TRUE,
SUB17_RM6,0.8,101700,TRUE,
SUB18_RM6,0.8,101800,TRUE,
SUB19A_RM6,1,101901,TRUE,
SUB19B_RM6,1,101902,TRUE,Normally Open HV link to SUB19A_RM6
SUB20_RM6,0.8,102000,TRUE,Future cable to slack bus
SUB21A_RM6,1,102101,TRUE,Normally Open HV link to SUB21B_RM6
SUB21B_RM6,1,102102,TRUE,
SUB22A_RM6,1.5,112201,TRUE,Normally Open HV link to SUB22B_RM6
SUB22B_RM6,1.5,112202,TRUE,
SUB23_RM6,0.8,102300,TRUE,
SUB24_RM6,1,112400,TRUE,
SUB25A_RM6,1,112501,TRUE,
SUB25B_RM6,0.8,112502,TRUE,Normally Open Link to SUB25A_RM6
SUB26_RM6,1,112600,TRUE,Normally Closed HV link to SUB22A_RM6
SUB27A_RM6,1,102701,TRUE,
SUB27B_RM6,1,102702,TRUE,
SUB29A_RM6,1,102901,TRUE,
SUB29B_RM6,1,102902,TRUE,Normally Open HV link to SUB29A_RM6
SUB30_RM6,1,113000,TRUE,
SUB31_RM6,1,113100,TRUE,
SUB3_HV_A,1,110301,TRUE,Normally Open HV link to SUB3_HV_B
SUB3_HV_B,1,110302,TRUE,
SUB4_RM6,0.8,110400,TRUE,
SUB5_HV_A,1,110501,TRUE,Normally Open HV link to SUB5_HV_B
SUB5_HV_B,0.5,110502,TRUE,
SUB7_HV_A,2,110701,TRUE,
SUB7_HV_B,1,110702,TRUE,Normally Open HV link to SUB7_HV_A
SUB8_RM6,0.75,100800,TRUE,
SUB9_RM6,0.5,100900,TRUE,Normally Open HV link to SUB4_RM6
