======================================================================================================
                                 LOAD CHARACTERISATION REPORT
Substation ID: 101902
Data Points: 110489
Date Range: 2022-01-01 00:00:00 -> 2025-02-24 22:00:00
======================================================================================================
        load_a  load_b  load_c  calc_load  power_active  power_reactive  power_apparent  err %
0        0.242   0.234   0.227      0.703      0.425685        0.098297        0.436894   60.9
1        0.306   0.293   0.286      0.885      0.766035        0.319970        0.830387    6.6
2        0.305   0.293   0.284      0.882      0.767024        0.313795        0.828489    6.5
3        0.243   0.236   0.226      0.705      0.428674        0.097749        0.439737   60.3
4        0.239   0.235   0.226      0.700      0.423069        0.100282        0.434677   61.0
...        ...     ...     ...        ...           ...             ...             ...    ...
110484   0.000   0.000   0.000      0.000      0.000000        0.000000        0.000000    NaN
110485   0.238   0.242   0.229      0.709      0.433897        0.080465        0.441347   60.6
110486   0.219   0.211   0.000      0.430      0.000000        0.000000        0.000000    inf
110487   0.251   0.244   0.228      0.723      0.439401        0.164865        0.469539   54.0
110488   0.222   0.214   0.000      0.436      0.000000        0.000000        0.000000    inf

[110489 rows x 8 columns]
======================================================================================================
Summary of Spring Apparent Power
    Mean: 0.4, Median: 0.21, Stddev: 0.44

Summary of Summer Apparent Power
    Mean: 0.66, Median: 0.82, Stddev: 0.48

Summary of Autumn Apparent Power
    Mean: 0.28, Median: 0.0, Stddev: 0.37

Summary of Winter Apparent Power
    Mean: 0.57, Median: 0.75, Stddev: 0.45

   year_month          sum      mean       std
0     2022-01   567.018628  0.190530  0.306319
1     2022-02   610.209535  0.229144  0.340811
2     2022-03  2689.945207  0.903879  0.362362
3     2022-04  1270.149861  0.441177  0.394087
4     2022-05  1398.684398  0.469988  0.392773
5     2022-06   970.990794  0.337150  0.374399
6     2022-07  1110.131818  0.373028  0.382273
7     2022-08  1270.016875  0.426753  0.401256
8     2022-09  1222.441418  0.425641  0.421982
9     2022-10  1761.128054  0.591777  0.484270
10    2022-11  1665.526467  0.753973  0.465957
11    2022-12  1586.459659  0.721774  0.435470
12    2023-01  2565.719144  0.862717  0.379260
13    2023-02  2093.392904  0.778792  0.366887
14    2023-03  2557.956837  0.859529  0.385328
15    2023-04  1420.888188  0.493364  0.426929
16    2023-05   359.023650  0.120640  0.273413
17    2023-06   136.510091  0.047399  0.156796
18    2023-07   297.731825  0.100044  0.218612
19    2023-08   238.975268  0.080301  0.189075
20    2023-09    59.850034  0.020781  0.106348
21    2023-10    27.184479  0.009135  0.068513
22    2023-11  1494.135080  0.519880  0.464941
23    2023-12  1966.969334  0.660944  0.400245
24    2024-01  2679.747503  0.900453  0.290746
25    2024-02  2966.115094  1.065415  0.147458
26    2024-03  2574.115473  0.864958  0.233418
27    2024-04  1689.831071  0.593340  0.426147
28    2024-05  1038.514691  0.348963  0.394020
29    2024-06   978.241506  0.339667  0.395831
30    2024-07  1048.073777  0.352294  0.401549
31    2024-08  1483.089778  0.498350  0.395880
32    2024-09  1114.567783  0.387003  0.372766
33    2024-10  1287.760694  0.438611  0.346047
34    2024-11  1671.366247  0.580336  0.400105
35    2024-12   254.235207  0.085428  0.239737
36    2025-01  2422.960890  0.814167  0.391640
37    2025-02  2395.096533  1.042706  0.402970
