======================================================================================================
                                 LOAD CHARACTERISATION REPORT
Substation ID: 102101
Data Points: 77370
Date Range: 2022-12-12 00:15:00 -> 2025-02-24 22:30:00
======================================================================================================
       load_a  load_b  load_c  calc_load  power_active  power_reactive  power_apparent  err %
0       0.707  10.778   0.749     12.234     10.143628        6.696658       12.168103    0.5
1       0.852  12.611   0.895     14.358     13.485951        4.766132       14.301964    0.4
2       0.747  10.409   0.755     11.911      9.675464        6.813003       11.841803    0.6
3       0.961  14.132   1.053     16.146     14.664481        6.648654       16.096789    0.3
4       1.007  14.428   1.072     16.507     15.004993        6.757021       16.458514    0.3
...       ...     ...     ...        ...           ...             ...             ...    ...
77365   1.195  15.506   1.103     17.804     16.829798        5.446391       17.698716    0.6
77366   0.635  10.391   0.595     11.621     10.943447        3.390053       11.446914    1.5
77367   0.653   9.856   0.563     11.072     10.373753        3.291889       10.885104    1.7
77368   1.435  21.248   1.469     24.152     22.697095        7.662045       23.963544    0.8
77369   1.271  19.452   1.316     22.039     21.042788        5.837161       21.832220    0.9

[77370 rows x 8 columns]
======================================================================================================
Summary of Spring Apparent Power
    Mean: 13.32, Median: 13.71, Stddev: 6.15

Summary of Summer Apparent Power
    Mean: 12.41, Median: 13.06, Stddev: 6.3

Summary of Autumn Apparent Power
    Mean: 10.66, Median: 9.38, Stddev: 6.32

Summary of Winter Apparent Power
    Mean: 8.54, Median: 5.68, Stddev: 5.77

   year_month           sum       mean       std
0     2022-12  25981.822984  13.539251  3.928913
1     2023-01  42089.952235  14.162164  3.463852
2     2023-02  39128.765649  14.556832  3.571817
3     2023-03  22316.454782   7.501329  4.203698
4     2023-04  18680.258824   6.490708  4.124424
5     2023-05  29666.864413   9.972055  5.313776
6     2023-06  29663.616632  10.307025  5.052326
7     2023-07  29471.694829   9.906452  5.324712
8     2023-08  29681.510167   9.976978  5.126317
9     2023-09  28469.385017   9.888637  5.299702
10    2023-10  29102.594194   9.788965  4.814590
11    2023-11  26208.834356   9.106614  4.832618
12    2023-12  28609.793484   9.613506  4.756470
13    2024-01  29058.058024   9.770699  5.610294
14    2024-02  24903.469389   8.951642  6.012571
15    2024-03  25219.350262   8.479943  6.365516
16    2024-04  27543.710945   9.617218  6.507235
17    2024-05  27300.292712   9.173485  6.706760
18    2024-06  27139.442393   9.423417  6.924920
19    2024-07  30411.426315  10.222328  7.070066
20    2024-08  41836.174046  14.067308  6.842380
21    2024-09  48664.455636  16.903250  4.732275
22    2024-10  51098.032522  17.170038  4.817933
23    2024-11  49025.562744  17.022765  4.848991
24    2024-12  48790.859228  16.400289  6.904713
25    2025-01  35147.121014  11.818131  7.690492
26    2025-02  30995.695118  13.482251  7.902095
