======================================================================================================
                                 LOAD CHARACTERISATION REPORT
Substation ID: 102102
Data Points: 77317
Date Range: 2022-12-12 14:15:00 -> 2025-02-24 23:15:00
======================================================================================================
       load_a  load_b  load_c  calc_load  power_active  power_reactive  power_apparent  err %
0      13.679  10.223  11.417     35.319     31.359671       16.397882       35.389131   -0.2
1      13.949  10.711  11.407     36.067     31.418537       16.690346       35.563349    1.4
2      13.742  10.543   9.744     34.029     30.352728       14.620884       33.674845    1.1
3      18.815  17.343  19.184     55.342     50.682838       17.471493       53.613171    3.2
4      25.250  23.027  23.870     72.147     67.699605       19.391243       70.427566    2.4
...       ...     ...     ...        ...           ...             ...             ...    ...
77312   0.000   0.000   0.000      0.000      0.000000        0.000000        0.000000    NaN
77313     NaN     NaN     NaN        NaN           NaN             NaN             NaN    NaN
77314     NaN     NaN     NaN        NaN           NaN             NaN             NaN    NaN
77315     NaN     NaN     NaN        NaN           NaN             NaN             NaN    NaN
77316     NaN     NaN     NaN        NaN           NaN             NaN             NaN    NaN

[77317 rows x 8 columns]
======================================================================================================
Summary of Spring Apparent Power
    Mean: 96.59, Median: 64.19, Stddev: 63.85

Summary of Summer Apparent Power
    Mean: 63.6, Median: 53.04, Stddev: 33.02

Summary of Autumn Apparent Power
    Mean: 95.43, Median: 66.71, Stddev: 66.81

Summary of Winter Apparent Power
    Mean: 77.68, Median: 72.39, Stddev: 36.56

   year_month            sum        mean        std
0     2022-12   64243.558770   41.635489  14.773845
1     2023-01  116494.293275   43.893856  15.252206
2     2023-02  119720.106151   44.538730  15.559015
3     2023-03  272508.821504   91.568824  33.253103
4     2023-04  269303.040162   93.508000  32.657361
5     2023-05  194007.699303   65.190759  34.728604
6     2023-06  169929.633352   59.085408  32.827207
7     2023-07  407021.486946  137.507259  85.079463
8     2023-08  542712.312715  182.363008  35.672576
9     2023-09  518701.930910  180.104837  37.102676
10    2023-10  501360.037048  168.524382  32.467010
11    2023-11  157924.646079   64.249246  52.315868
12    2023-12  200243.097937   67.285987  35.153980
13    2024-01  217208.735102   72.986806  36.782132
14    2024-02  193325.208868   69.441526  36.996538
15    2024-03  209029.198965   70.261916  35.859595
16    2024-04  206914.050465   72.246526  34.187234
17    2024-05  219005.922482   73.590700  38.516507
18    2024-06  203462.855348   70.646825  35.820672
19    2024-07  196964.962240   66.184463  35.480607
20    2024-08  163698.389314   55.006179  27.787982
21    2024-09  140742.215884   48.868825  10.372666
22    2024-10  163532.473435   54.950428  12.890755
23    2024-11  164457.899378   57.103437  14.765854
24    2024-12  190727.582262   64.088569  25.440914
25    2025-01  239210.917061   80.380012  35.360551
26    2025-02  177377.619300   77.053701  35.282932
