sample,reading_set,simulated_nodes,real_nodes,exec_time
0,0,24,13,1.48811520000163
0,1,31,6,0.052525799997965805
0,2,28,9,0.05835340000339784
0,3,35,2,0.0562674000102561
0,4,27,10,0.054572900000493973
0,5,21,16,0.10964389999571722
0,6,22,15,0.0519821000052616
0,7,26,11,0.05077440000604838
0,8,34,3,0.04979990000720136
0,9,33,4,0.051608599998871796
0,10,29,8,0.05178530000557657
0,11,28,9,0.054849199994350784
0,12,30,7,0.05434270000841934
0,13,31,6,0.05137460000696592
0,14,28,9,0.05101779999677092
0,15,26,11,0.049855399993248284
0,16,32,5,0.048734500000136904
0,17,24,13,0.05085220000182744
0,18,32,5,0.04970439999306109
0,19,27,10,0.0532076999952551
0,20,25,12,0.051294499993673526
0,21,24,13,0.04997709998860955
0,22,24,13,0.05118120000406634
0,23,24,13,0.053428699990035966
0,24,30,7,0.05285899998852983
0,25,24,13,0.05090519999794196
0,26,26,11,0.05197810000390746
0,27,21,16,0.05167649999202695
0,28,33,4,0.05042840000533033
0,29,33,4,0.05080999998608604
0,30,34,3,0.05105550000735093
0,31,26,11,0.04963000000861939
0,32,28,9,0.05125699999916833
0,33,33,4,0.05385280000336934
0,34,29,8,0.05084329999226611
0,35,31,6,0.05166830000234768
0,36,27,10,0.051032400006079115
0,37,31,6,0.050505100007285364
0,38,29,8,0.05027859999972861
0,39,34,3,0.05119660000491422
0,40,24,13,0.05264349999197293
0,41,32,5,0.049053599999751896
0,42,26,11,0.06413199999951757
0,43,21,16,0.05810760000895243
0,44,22,15,0.0517322000087006
0,45,34,3,0.050422700005583465
0,46,26,11,0.053016999998362735
0,47,32,5,0.05139880000206176
0,48,26,11,0.050981100008357316
0,49,26,11,0.04939200000080746
0,50,28,9,0.05260199999611359
0,51,29,8,0.051656000010552816
0,52,32,5,0.05060240000602789
0,53,30,7,0.054145199988852255
0,54,26,11,0.055174900000565685
0,55,36,1,0.05382699999609031
0,56,26,11,0.05199539999011904
0,57,31,6,0.04989239999849815
0,58,26,11,0.05021499999566004
0,59,31,6,0.05052240000804886
0,60,22,15,0.05278589999943506
0,61,22,15,0.05101560000912286
0,62,22,15,0.05493899999419227
0,63,24,13,0.05250650001107715
0,64,30,7,0.05084889999125153
0,65,27,10,0.05202550000103656
0,66,35,2,0.05114559999492485
0,67,30,7,0.05065879999892786
0,68,24,13,0.05208560000755824
0,69,26,11,0.051192200000514276
0,70,24,13,0.051884799991967157
0,71,31,6,0.05052530000102706
0,72,34,3,0.050288699989323504
0,73,32,5,0.050910700010717846
0,74,22,15,0.0685990999918431
0,75,36,1,0.06577090000791941
0,76,26,11,0.05360410000139382
0,77,32,5,0.05426999999326654
0,78,32,5,0.053839100000914186
0,79,21,16,0.054882399999769405
0,80,28,9,0.05681179999373853
0,81,36,1,0.05472040000313427
0,82,33,4,0.05551220000779722
0,83,30,7,0.054063199990196154
0,84,26,11,0.0534516000043368
0,85,22,15,0.053217599997879006
0,86,22,15,0.051685700003872626
0,87,26,11,0.05109820001234766
0,88,36,1,0.05329369999526534
0,89,28,9,0.051301400002557784
0,90,27,10,0.05055999998876359
0,91,26,11,0.04966920000151731
0,92,25,12,0.05052260000957176
0,93,30,7,0.050236800001584925
0,94,25,12,0.04981170000974089
0,95,26,11,0.050573699991218746
0,96,28,9,0.054925400007050484
0,97,29,8,0.05269850000331644
0,98,36,1,0.05092700000386685
0,99,21,16,0.05568669999775011
1,0,35,2,0.05394030000024941
1,1,24,13,0.053779299996676855
1,2,29,8,0.050750199996400625
1,3,32,5,0.05120309999620076
1,4,26,11,0.052833299996564165
1,5,25,12,0.05277850000129547
1,6,31,6,0.05062300000281539
1,7,29,8,0.05155280001054052
1,8,32,5,0.04967529998975806
1,9,26,11,0.05010600000969134
1,10,29,8,0.05004899999767076
1,11,27,10,0.05028820000006817
1,12,34,3,0.05144830000062939
1,13,33,4,0.05230029999802355
1,14,30,7,0.051373000009334646
1,15,30,7,0.05261410000093747
1,16,25,12,0.05126130000280682
1,17,23,14,0.0606195000000298
1,18,26,11,0.05454009999812115
1,19,36,1,0.054020900002797134
1,20,31,6,0.051920500001870096
1,21,36,1,0.05234909999126103
1,22,32,5,0.05350140000518877
1,23,30,7,0.05465550000371877
1,24,24,13,0.05409359998884611
1,25,34,3,0.050515399998403154
1,26,35,2,0.051212499995017424
1,27,21,16,0.05161239999870304
1,28,24,13,0.051111099994159304
1,29,35,2,0.051878299986128695
1,30,29,8,0.05229860001418274
1,31,24,13,0.051890299990191124
1,32,28,9,0.05330359999788925
1,33,21,16,0.052564300000085495
1,34,30,7,0.049684900004649535
1,35,23,14,0.050444100008462556
1,36,21,16,0.05074130000139121
1,37,31,6,0.054686100003891625
1,38,33,4,0.06108759999915492
1,39,22,15,0.0540772999956971
1,40,22,15,0.05129730000044219
1,41,26,11,0.05093450000276789
1,42,28,9,0.053452399995876476
1,43,26,11,0.050584800002980046
1,44,31,6,0.05141100000764709
1,45,33,4,0.05074079999758396
1,46,23,14,0.050495300005422905
1,47,29,8,0.05048000000533648
1,48,24,13,0.05116630000702571
1,49,21,16,0.051910300011513755
1,50,21,16,0.05079880000266712
1,51,36,1,0.050174000003607944
1,52,36,1,0.05068260000552982
1,53,36,1,0.05282260000240058
1,54,23,14,0.051247900002636015
1,55,25,12,0.05146449999301694
1,56,25,12,0.050549199993838556
1,57,26,11,0.05785979999927804
1,58,22,15,0.05106569999770727
1,59,29,8,0.05379450001055375
1,60,26,11,0.053631200004019774
1,61,35,2,0.05069260000891518
1,62,34,3,0.05347559999790974
1,63,29,8,0.05678670000634156
1,64,28,9,0.054173299999092706
1,65,21,16,0.052508900000248104
1,66,23,14,0.05098329999600537
1,67,23,14,0.05032009999558795
1,68,25,12,0.050049900004523806
1,69,21,16,0.05161419999785721
1,70,29,8,0.05223190000106115
1,71,21,16,0.04948649999278132
1,72,27,10,0.05102759999863338
1,73,34,3,0.05130500000086613
1,74,29,8,0.04911569999239873
1,75,36,1,0.050551599997561425
1,76,28,9,0.05673850000312086
1,77,23,14,0.05100249999668449
1,78,35,2,0.051947999992989935
1,79,33,4,0.04987299999629613
1,80,21,16,0.055414300004485995
1,81,26,11,0.05249869999533985
1,82,24,13,0.05189309999695979
1,83,30,7,0.054538800002774224
